Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Sentiment,Pros,Cons,Liked_Features,Disliked_Features
 on 06/06/18 14:19 PM (PDT),Vicki ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),2006 Mustang GT, Doesn’t disappoint,5.0,Positive,None mentioned,None mentioned,[],[]
 on 08/12/17 06:06 AM (PDT),Tom ,2006 Ford Mustang Coupe V6 Standard 2dr Coupe (4.0L 6cyl 5M),DREAM CAR," I bought mine 4/17 with 98K. Have been wanting a V6 5-sp, '05-'09 vintage for years. The engine is fine. Sounds good. Great mileage. Good power. I pride myself on smooth take-off and gear changes, but this is the orneriest transmission I've ever used! The difference between idle and 4000 rpm is about 1/8"" on the gas pedal, so starting-out without either stalling or way over-revving takes a LOT of finesse. Gear changes are very difficult to master smoothly without lurching. The ride is very harsh with a lot of road noise, which I suppose goes with a quasi high-performance car. My '01 S-10 is quieter and smoother. All that said, it's a smokin' hot looking car, and still fun to drive. This was the first-off of the modern 'Stangs. Hopefully these problems have been ironed-out since.",3.0,Positive,"Engine is fine and sounds good, Great mileage, Good power, Smooth take‑off, Fun to drive, Smokin’ hot styling","Orneriest transmission ever used, Difficult to master gear changes without lurching, Harsh ride, High road noise, Less quiet and smoother than the 2001 S‑10","['Engine performance', 'Fuel economy', 'Power delivery', 'Smooth acceleration', 'Driving enjoyment', 'Exterior styling']","['Transmission feel', 'Ride comfort', 'Road noise']"
 on 06/15/17 05:43 AM (PDT),Ray ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Great Ride, There will always be a 05-09 mustang for sale and their fairly reasonable. Purchased mine as second car and I believe it was a great investment,5.0,Positive,"fairly reasonable price, great investment",None mentioned,"['price', 'investment value']",[]
 on 05/18/17 17:33 PM (PDT),Don Watson ,2006 Ford Mustang Coupe V6 Deluxe 2dr Coupe (4.0L 6cyl 5M),I have wanted a Mustang for 40 years.," I bought my car from an auction I work at ( Adesa Sacramento ) and I love it!! It is a v6 with an air aid cold air injector, throttle body spacer and a Flowmaster exhaust. The previous owner also added blacked out 17 inch factory rims. This beast will smoke any G6 or v6 camaro out there.... If you can buy a base model and do the bolt on stuff yourself do it!!!!",5.0,Positive,"High-performance modifications (air aid cold air injector, throttle body spacer, Flowmaster exhaust), Custom blacked-out 17-inch factory rims, Strong performance that outpaces competitors, Overall satisfaction and love for the car",None mentioned,"['Air aid cold air injector', 'Throttle body spacer', 'Flowmaster exhaust', 'Blacked-out 17-inch factory rims', 'Overall performance']",[]
 on 01/03/16 18:03 PM (PST),One owner ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),One owner, I bought this car spankin new and i still am In love with this car.  This car hugs the road and does whatever you ask at a moments notice.   The only thing I have had to fix is the alternator.   Of course there are repairs like tires and brakes. This car has gone all these years and no mechanical breakdown!   How many cars can you say that about?This car is GREAT!,5.0,Positive,"The car hugs the road and responds instantly to driver input, No mechanical breakdowns over the years, Overall great performance and reliability","Alternator needed repair, Regular maintenance such as tires and brakes","['Road-hugging handling', 'Instant responsiveness', 'Reliability', 'No mechanical breakdowns']","['Alternator', 'Tires', 'Brakes']"
 on 10/24/15 12:40 PM (PDT),Adam ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Poor," Lots of problems with Ford these days, sensors issues, cam phasers, and got solenoid problems.",3.0,Negative,None mentioned,"sensors issues, cam phasers, solenoid problems",[],"['sensors', 'cam phasers', 'solenoids']"
 on 10/29/11 04:57 AM (PDT),amos247 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),06 mustang gt with a few mods, Bought mine used 20k on it and have added a SCT tuner with Ford CAI and Flow master mufflers.I get 19.5 mpg in town and 24.5 mpg highway onregular 87 octane gas with normal driving. No major mechanical issues to report and have taken several long road trips in it with good comfort. The mustang GT offers great bang for the buck performance and decent fuel economy. The car is easy to work on for all the do it your self guys and gals. Would I buy a mustang again you betcha... ,4.625,Positive,"Great bang for the buck performance, Decent fuel economy (19.5 mpg city, 24.5 mpg highway), Good comfort on long road trips, Easy to work on for DIY enthusiasts, No major mechanical issues reported",None mentioned,"['Performance', 'Fuel economy', 'Comfort', 'Ease of maintenance', 'Reliability (no major issues)']",[]
 on 07/25/11 12:15 PM (PDT),dave3012 ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),2006 Ford Mustang GT Premium 2dr Coupe (4.6L 8cyl 5M)," I bought my preowned 06 a few weeks back and am very glad I did. Screaming Yellow, car had some upgrades from previous owner (Airaid air filter system, Flowmaster exaust) It's about 360 horses of extreme fun. Although the car had 51K on it, Honda dealer included 3 year 36K bumper to bumper waurranty, and I plan to get the best out of those 36,000 miles. At 45 it was a mid-life crisis the wife even agreed with. LOL",4.375,Positive,"Upgraded Airaid air filter system, Flowmaster exhaust, 360 horsepower, Fun driving experience, 3‑year/36,000‑mile bumper‑to‑bumper warranty, Low mileage (51,000 miles)",None mentioned,"['Airaid air filter system', 'Flowmaster exhaust', '360 horsepower', 'Warranty coverage', 'Low mileage']",[]
 on 07/21/11 11:28 AM (PDT),ronnzy98 ,2006 Ford Mustang Coupe GT Deluxe 2dr Coupe (4.6L 8cyl 5M),Get Rid of it before 100K," I drive 50 miles each way to work and traded my 01 accord for a 06 mustand in 2008. Well 80k miles later the engine starts having this knocking noise and significant loss of power and not because I don't take care of my car as I changed my oil every 3K miles and keep it very well maintained. After Ford looked at the car they quoted me $4,100 to fix what they called a cam phaser issue (pumps oil to the top end of the motor). Needless to say I pulled the car from Ford and took to a performance shop, who said it needed a new motor for $4,800. Well thats great but this is not my toy its my daily driver. Long story short before you buy research cam phasers this appears to be an issue in many Ford",3.5,Negative,None mentioned,"Engine starts having knocking noise and significant loss of power, Cam phaser issue leading to expensive repairs ($4,100 at Ford, $4,800 at performance shop), Vehicle not suitable as a daily driver due to reliability concerns, Issue appears to be common in many Ford Mustangs",[],"['Engine performance', 'Reliability', 'Repair cost', 'Cam phaser']"
 on 12/06/10 00:00 AM (PST),Anonymous ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Get this car.," This car is just awesome.  The 4.6L V8 makes the car, and the stock exhaust has a nice rumble to it that screams when you mash the pedal to the floor.  I've had the car for 2 years and have about 52,000 miles on her with zero problems.  For the price, you really can't beat it either (16300 in 2009 with 33k miles). Its faster, better looking, and really just more of a car than any used BMW/mercedes within its pricing segment.  The only comparable competitor in the used car market this years Mustang has is in the 350z, which handles better but lacks in practicality.  And on top of that, the Z doesn't sound as good as the 8 and after test driving could be a nightmare as a daily driver",4.625,Neutral,None mentioned,None mentioned,[],[]
 on 10/29/10 00:00 AM (PDT),Stu ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),Fun stang, Only had car for one week and this car put the fun back into driving.Even though it's a V6 it still get up and goes.I love the way it handles and turns heads.,4.5,Positive,"fun driving, good handling, stylish appearance that turns heads",None mentioned,"['fun driving', 'handling', 'styling']",[]
 on 08/22/10 17:37 PM (PDT),shackm ,2006 Ford Mustang Coupe GT Premium 2dr Coupe (4.6L 8cyl 5M),Well worth the wait!," Previous mustang owner (1980) and have had a serious stalking issue with this car since Ford introduced the '05 model.  I don't care too much for the look of the 09-11 models, and recently found an '06 and bought it from the original owner.  He drove it a lot (70k miles), but took good care of it and she looks sweet.  So much fun to drive and decent gas mileage too.       ",4.75,Positive,"Fun to drive, Decent gas mileage, Well‑maintained with 70k miles, Sweet appearance",None mentioned,"['Fun to drive', 'Decent gas mileage', 'Well‑maintained with 70k miles', 'Sweet appearance']",[]
 on 08/20/10 10:34 AM (PDT),Chet ,2006 Ford Mustang Coupe V6 Premium 2dr Coupe (4.0L 6cyl 5M),166K miles and still going strong," I drive a lot of miles, at least 150/day.  I just had the water pump replaced at 166,000 miles and decided it was time to do the rest of the maintenance that I have neglected for the last 5 years.  I changed the oil regularly with Mobil 1 and changed the brakes when necessary.  Other than that everything has always worked perfectly.  I replaced the spark plugs at 140,000 miles just because.  The originals still looked good, just needed a gap adjustment.",4.875,Positive,"Reliable performance, No major issues, Low maintenance required, Smooth operation",None mentioned,"['Reliability', 'Low maintenance', 'Engine performance', 'Smooth operation']",[]
